reduced_formulas,descriptive_formulas,bandgap
Mo1S2,MoS2,1.1
Mo1S2In1Se1,MoS2InSe,1.68
Sb2Se3,Sb2Se3,1.24
Sb2Se3,Sb2Se3,1.2
Sb2Se3,Sb2Se3,1.2
Cu1S1,CuS,2.3
Cu1S1,CuS,5.92
Au4S1,Au4S,1.84
Au4S1,Au4S,2.68
Bi2Te2Se1,Bi2Te2Se,0.167
Bi2Se2Te1,Bi2Se2Te,0.167
Bi2Se2Te1,Bi2Se2Te,0.11
Pt1Se2,PtSe2,1.352
Pt1Se2,PtSe2,1.352
Zn1S1,ZnS,3.8000000000000003
Cd1S1,CdS,2.38
Cd1Se1,CdSe,1.74
Cd1S1,CdS,2.4
In2S3,In2S3,2.15
Ti1Sn1S2,TiSnS2,2.31
W1Se2,WSe2,1.56
W1Se2,WSe2,1.56
Bi2S3,Bi2S3,1.5
In2S3,In2S3,2.0
Pb1Se1,PbSe,0.94
Cu1S1C1N1,CuSCN,5.2
Sc1Se1Te1,ScSeTe,1.81
Sc1S2,ScS2,0.741
Sc1Se1Te1,ScSeTe,0.842
Sc1Se1Te1,ScSeTe,3.22
Sc1Se1Te1,ScSeTe,1.81
Zn1In1S1,ZnInS,2.6
Cd1S1,CdS,2.4
Zn1In2S4,ZnIn2S4,2.0
Zn1In2S4,ZnIn2S4,2.05
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Cu7S4,Cu7S4,2.1
Sn1Ga2Ge1Se6,SnGa2GeSe6,1.98
Sn1Ga2Ge1Se6,SnGa2GeSe6,1.98
Pb1Ga2Ge1Se6,PbGa2GeSe6,1.96
Sn1Ga2Ge1Se6,SnGa2GeSe6,1.98
Ag1Ga1S2,AgGaS2,3.49
Ag1Ga1S2,AgGaS2,3.49
Ag1Ga1S2,AgGaS2,2.56
Ag1Ga1S2,AgGaS2,3.49
Li2Zn1Ge1S4,Li2ZnGeS4,2.86
Ag1Ga1S2,AgGaS2,3.49
Ag1Ga1S2,AgGaS2,2.86
Mo1S2,MoS2,1.562
Cd1S1,CdS,2.4
Cd1S1,CdS,2.21
Cd1S1,CdS,2.21
Ag2Se1,Ag2Se,0.15
Pb1Se1,PbSe,0.41
Pb1Se1,PbSe,5.03
Pb1Se1,PbSe,0.21000000000000002
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Bi2S3,Bi2S3,1.76
Bi2S3,Bi2S3,1.76
In4S6,In4S6,2.0999999999999996
In2S3,In2S3,2.1
Sn1S2,SnS2,2.205
Ti1S3,TiS3,1.13
Sb2Se3,Sb2Se3,1.2000000000000002
Zn1Se1,ZnSe,2.67
Zn1Se1,ZnSe,2.65
Re1S2,ReS2,1.37
Mo1S2,MoS2,1.5499999999999998
Mo1S2,MoS2,1.79
Mo1S2,MoS2,2.2
Mo1S2,MoS2,1.71
Mo1S2,MoS2,0.23
Mo1S2,MoS2,1.614
Cd1S1,CdS,2.4
Cd0.8Zn0.2S1,Cd0.8Zn0.2S,2.4
Mo1S2,MoS2,1.7
S1C3N4,SC3N4,2.7
S1,S,2.7
Cd1S1,CdS,2.4
Cu1S1,CuS,2.0
Cu1S1,CuS,2.39
Cu1S1,CuS,0.59
Mo1S2,MoS2,1.7
Mo1S2,MoS2,1.89
Cd1S1,CdS,2.41
Cd1S1,CdS,2.35
Cd1S1,CdS,2.41
Bi2S3,Bi2S3,1.3
Mo1S2,MoS2,1.545
Mo1S2,MoS2,1.67
Cu1In1Se2,CuInSe2,2.25
Cu1In1Se2,CuInSe2,2.25
Ni1Co2S4,NiCo2S4,2.5
Zr1S2,ZrS2,1.7
Zr1S2,ZrS2,4.43
Cd1S1,CdS,2.4
Cd1S1,CdS,2.24
Pb1S1,PbS,1.77
In1S1,InS,2.34
Mo1Se2,MoSe2,1.6
Cu1Cr1P2S6,CuCrP2S6,1.125
Ta2S3,Ta2S3,0.15
Ta2S3,Ta2S3,3.45
S1,S,3.5
Mo1S2,MoS2,1.8
Cd1Se1,CdSe,1.76
Mo1S2,MoS2,1.3
Mo1Se2,MoSe2,1.3
Pd1Se2,PdSe2,0.4
Pd1Se2,PdSe2,0.06
Pd1Se2,PdSe2,0.03
Pd1Se2,PdSe2,0.03
Sb2S3,Sb2S3,2.75
Fe1P1S3,FePS3,3.14
S6Mo1,S6Mo,1.8
Mo1S2,MoS2,1.8
Mo1S2,MoS2,1.68
Zn1Se1,ZnSe,2.705
Ge1Se1,GeSe,0.1
Ge1Se1,GeSe,1.74
Mo1S2,MoS2,1.9
Mo1S2,MoS2,1.3
Bi2S3,Bi2S3,1.285
Mo1S2,MoS2,1.6
Mo1S2,MoS2,1.9
H2Sn3S7,H2Sn3S7,2.45
Mo1S2,MoS2,1.9
Cd1Se1,CdSe,1.89
S1Se1,SSe,1.25
Se1,Se,0.95
Mo1S2,MoS2,1.8
Mo1S2,MoS2,1.65
Mo1S2,MoS2,1.09
Mo1S2,MoS2,1.65
In2S3,In2S3,2.17
Cu1S1,CuS,1.9
Mo1S2,MoS2,1.9
Mo1S2,MoS2,1.7000000000000002
Mo1S2,MoS2,1.715
Mo1S2,MoS2,1.62
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Cd1S1,CdS,2.2
S6Mo1,S6Mo,1.8
Mo1S2,MoS2,1.8
Mo1S2,MoS2,1.16
Mo1S2,MoS2,1.6
Cu3Sn1S4,Cu3SnS4,1.55
Cu3Sn1S4,Cu3SnS4,1.2
Pt1S2,PtS2,1.6
Pt1Se2,PtSe2,1.2
Pd1S2,PdS2,1.0
Pd1Se2,PdSe2,1.31
Mn1P1Se3,MnPSe3,3.08
Cu2S3,Cu2S3,1.6
Pt1S2,PtS2,1.83
Cu1Cl1Se2,CuClSe2,1.73
Cu1Cl1Se2,CuClSe2,1.59
Cu1Cl1Se2,CuClSe2,0.19
Cu1Cl1Se2,CuClSe2,1.9
Cu1Cl1Se2,CuClSe2,1.73
Cu1Cl1Se2,CuClSe2,1.59
C24S12,C24S12,4.14
C24S12,C24S12,2.76
C1S1I1,CSI,1.3
C1S1I1,CSI,1.38
Ag1Pb1Bi1Se3,AgPbBiSe3,0.46
Ag1Pb1Bi1Se3,AgPbBiSe3,0.14
Ir6In32S21,Ir6In32S21,1.48
Ir6In32S21,Ir6In32S21,1.48
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Zn0.25Cd0.75Se1,Zn0.25Cd0.75Se,1.84
Cd1S1,CdS,2.4
Zn0.25Cd0.75Se1,Zn0.25Cd0.75Se,1.84
Zn1In2S4,ZnIn2S4,2.18
Zn1S1,ZnS,3.65
Cu2S3,Cu2S3,1.85
Cu2S1,Cu2S,2.29
Cu2S1,Cu2S,1.36
Mo1S2,MoS2,1.5
W1Se2,WSe2,1.5
W1Se2,WSe2,1.3
W1Se2,WSe2,1.45
In2S3,In2S3,2.03
In2S3,In2S3,1.0
Sb2Se3,Sb2Se3,1.3
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Zn1S1,ZnS,3.6
Cd1S2Pd1,CdS2Pd,1.6
Pd1S1,PdS,1.6
Cu3Sb1Se4,Cu3SbSe4,0.36
Cu3Sb1Se4,Cu3SbSe4,0.27
Cu1Fe1Se2,CuFeSe2,0.45
Sb2Se3,Sb2Se3,1.2
Sb2Se3,Sb2Se3,0.055
Cd1S1,CdS,2.4
Sn1Se2,SnSe2,1.25
S1,S,1.295
Pb1S1,PbS,1.41
Se1,Se,1.5
In2S3,In2S3,2.15
Mo1S2,MoS2,1.5499999999999998
Cd1S1,CdS,2.42
Cd1S1,CdS,2.42
Zn1S1,ZnS,3.56
Ni2S3,Ni2S3,2.165
Cd1S1,CdS,2.42
Zn1S1,ZnS,3.6
H1Mo1S2,HMoS2,1.8
Bi2S3,Bi2S3,2.39
Sb2S3,Sb2S3,1.66
Sb2S3,Sb2S3,2.19
In2S3,In2S3,2.39
Bi2S3,Bi2S3,2.2
W1Se2,WSe2,1.68
W1Se2,WSe2,1.54
W1Se2,WSe2,1.17
W1Se2,WSe2,1.607
Cu1Fe1S2,CuFeS2,0.52
Cu1Fe1S3Zn1,CuFeS3Zn,0.52
Cu1Fe1Se2,CuFeSe2,0.16
Mo1S2,MoS2,1.87
Mo1S2,MoS2,2.23
Mo1Se2,MoSe2,0.004
Mo1S2,MoS2,1.86
Sn1S2,SnS2,2.29
Sn1S2,SnS2,1.934
Sn1S2,SnS2,1.92
Ge1S1,GeS,0.953
Ge1S1,GeS,1.771
Ge1S1,GeS,0.573
Ge1S1,GeS,0.953
Ge1S1,GeS,0.823
Cd1S1,CdS,2.4
Zn1S1,ZnS,3.6
Zn1S1,ZnS,3.6
Bi4S6,Bi4S6,1.3
Cd1S1,CdS,2.4
Bi2S3,Bi2S3,1.2
Mo1S2,MoS2,1.49
Mo1Se1Te1,MoSeTe,1.859
Mo1Se1Te1,MoSeTe,0.391
Pb1S1,PbS,0.41
Pb1Se1,PbSe,0.28
Ag2S1,Ag2S,1.0
Cu1In1Se2,CuInSe2,1.05
Sn1S2,SnS2,4.04
Sn1S2,SnS2,1.42
Zn1In2S4,ZnIn2S4,2.41
Zn1In2S4,ZnIn2S4,2.51
Mo1S2,MoS2,1.3
Mo1S2,MoS2,0.4
Cd1S1,CdS,2.4
Cd1S1,CdS,2.86
Mo1S2,MoS2,1.52
Sn1Se1,SnSe,0.9
Sn1Se1,SnSe,0.79
Ag1Ga1S2,AgGaS2,2.64
Ba2In2S5,Ba2In2S5,2.47
Ba2In2Se5,Ba2In2Se5,2.47
Cd1Se1,CdSe,1.74
Cd1S1,CdS,2.42
Cd1S1,CdS,2.42
Mo1S2,MoS2,1.604
Mn0.45Cu0.05Cd0.5S1,Mn0.45Cu0.05Cd0.5S,2.3
Zr2N2Se1,Zr2N2Se,0.36
Zr2N2Se1,Zr2N2Se,2.76
Hf2N2Se1,Hf2N2Se,1.4
Hf2N2Se1,Hf2N2Se,2.76
Li2Zn1Si1S4,Li2ZnSiS4,3.0
S1,S,3.66
In2S3,In2S3,2.15
In2S3,In2S3,2.07
In2S3,In2S3,2.48
Sb2Se1S1,Sb2SeS,1.34
Se1,Se,1.15
In1Se1,InSe,1.105
Mo1Se2,MoSe2,1.52
Mo1S2,MoS2,1.8
In1Se1,InSe,1.46
Si1C1In1Se1,SiCInSe,0.64
Re1S2,ReS2,1.431
Re1S2,ReS2,1.43
Bi1Sb1Se3,BiSbSe3,1.32
Bi1Sb1Se3,BiSbSe3,0.88
Zn1S1,ZnS,3.05
Pd1Se2,PdSe2,1.43
Pd1Se2,PdSe2,1.43
Pd1Se2,PdSe2,0.025
Zn1S1,ZnS,3.68
Sn1Se1,SnSe,1.48
Sn1Se1,SnSe,1.27
Cr1Se1Br1,CrSeBr,0.494
Cr1Se1Br1,CrSeBr,0.276
In2Se3,In2Se3,0.768
Pt1Se2,PtSe2,1.553
Pt1Se2,PtSe2,2.1
Pt1Se2,PtSe2,2.1
Pt1Se2,PtSe2,1.553
Pt1Se2,PtSe2,1.553
Si1Mo1S2,SiMoS2,0.047
Si1W1Se2,SiWSe2,0.16
Ga1In1S2,GaInS2,0.179
In1Se1,InSe,1.98
In1Se1,InSe,2.23
Mo1S2,MoS2,1.2
Pt1Se2,PtSe2,1.2
W1Se2,WSe2,1.62
Mo1S2,MoS2,1.595
S1,S,1.263
Mo1S2,MoS2,0.4145
Mo1S2,MoS2,1.29
Mo1S2,MoS2,1.9
Mo1S3,MoS3,1.5499999999999998
Mo1S2,MoS2,0.984
Mo1S2,MoS2,0.984
Mo1S2,MoS2,1.17
Mo1S2,MoS2,0.984
Mo1S2,MoS2,1.2825
Mo1S2,MoS2,0.8065
S1,S,1.263
Mo1S2,MoS2,1.263
Mo1S2,MoS2,0.4145
Ga1S1,GaS,2.5
Ga1S1,GaS,2.34
Mo1S2,MoS2,0.65
Mn0.3Cd0.7S1,Mn0.3Cd0.7S,2.28
Mn0.3Cd0.7S1,Mn0.3Cd0.7S,2.42
Zn1S1,ZnS,3.5
Zn1In2S4,ZnIn2S4,2.3
S1,S,1.4
C3N4S1,C3N4S,2.76
Ag1Ga1S2,AgGaS2,3.6
Ag1Ga1S2,AgGaS2,2.88
Ag1Ga1S2,AgGaS2,2.88
Ba6Ag1Sn1S1Se1,Ba6AgSnSSe,1.82
Cd1S1,CdS,2.1
Cd1S1,CdS,2.1
Cd1S1,CdS,1.6
S1,S,3.66
Zn1S1,ZnS,3.66
Zn1S1,ZnS,3.55
S1C1I1F1,SCIF,3.22
Bi13S18I2,Bi13S18I2,0.75
Bi1S1Se1,BiSSe,1.555
Bi2S3,Bi2S3,1.61
Cu2Zn1Sn1S4,Cu2ZnSnS4,1.45
Cu2Sr1Sn1S4,Cu2SrSnS4,2.0
Mo1S2,MoS2,1.81
Mo1S2,MoS2,3.43
Mo1S2,MoS2,1.29
Na11Sn2P1S12,Na11Sn2PS12,1.95
Na11Sn2Sb1S12,Na11Sn2SbS12,2.0
Na11Sn2P1S12,Na11Sn2PS12,1.975
Na11Sn2Sb1S12,Na11Sn2SbS12,1.975
Cd1S1,CdS,3.6
Zn1S1,ZnS,3.6
Mo1S2,MoS2,1.86
Sn1Se1,SnSe,1.2
Sn1Se1,SnSe,0.27
Pb1Se1,PbSe,0.27
Sn1Se1,SnSe,1.4
Ge1Se1,GeSe,1.1
Sn1Se1,SnSe,1.28
Sn1Se1,SnSe,1.1
Cd1S1,CdS,2.42
Cd1S1,CdS,2.27
S6W1,S6W,1.8
Mo1S2,MoS2,1.545
Mo1S2,MoS2,0.4
Mo1S1Se1,MoSSe,1.5
Mo1S2,MoS2,1.63
Mo1Se2,MoSe2,1.43
Cu2Fe1Sn1S4,Cu2FeSnS4,1.54
Zr1S3,ZrS3,2.02
Mo1S2,MoS2,1.9
Mo1S2,MoS2,0.91
S1,S,2.95
Sn1S2,SnS2,2.2
Cd1S1,CdS,2.4
Cd1S1,CdS,2.1
Cd1S1,CdS,2.25
Cd1S1,CdS,2.5
Cd1S1,CdS,2.9
B1Se1,BSe,1.63
Mo1S2,MoS2,1.9
Cd1S1,CdS,2.4
Cd1S1,CdS,2.42
Cu1Ga1S2,CuGaS2,2.4
Cu1Ga1S2,CuGaS2,2.39
Cd1S1,CdS,2.3
In1S1,InS,1.9
Mo1S2,MoS2,1.4
V1S1,VS,1.4
Mo1S2,MoS2,1.74
Ag1Fe1S2,AgFeS2,0.99
S1,S,1.45
S1,S,2.0
Pt1Se2,PtSe2,1.2
Pt1Se2,PtSe2,0.3
Re1Se2,ReSe2,1.34
Se1,Se,0.23
In1Se1,InSe,1.26
Cu1In7Se11,CuIn7Se11,1.1
Ta2Ni1Se5,Ta2NiSe5,1.1
Mo1S2,MoS2,1.5499999999999998
Mo1Se2,MoSe2,1.1
Pt1Se2,PtSe2,1.2
Pt1Se2,PtSe2,0.124
Zn1S1,ZnS,4.0
In1Se1,InSe,1.25
In1Se1,InSe,1.25
In1Se0.9S0.1,InSe0.9S0.,1.29
Cd1Se1,CdSe,3.49
Cd1S1,CdS,2.4
Cd1S1,CdS,2.37
Pt1Se2,PtSe2,0.4
Pt1Se2,PtSe2,0.4
Mo1S2,MoS2,1.38
Ag1Ga1S2,AgGaS2,4.24
Zn1S1,ZnS,3.7
Zn1S1,ZnS,3.7
Cu2S1,Cu2S,1.5
Zn1Se1,ZnSe,2.7
Zn1Cd1S1,ZnCdS,2.26
Mo1S2,MoS2,1.9
K2Sb4Se8,K2Sb4Se8,1.0
Zn1S1,ZnS,3.6
Zn1S1,ZnS,3.72
Ag2S1,Ag2S,1.1
Mo1S2,MoS2,1.8
Hf1S2,HfS2,1.3
Mo1S2,MoS2,6.0
Mo1S2,MoS2,1.2
Mo1S2,MoS2,1.2
S1,S,1.18
Mo1S2,MoS2,1.8
Mo1S2,MoS2,1.7
Mo1S2,MoS2,1.0
Mo1S2,MoS2,1.635
Mo1S2,MoS2,0.06
Mo1S1Se1,MoSSe,1.78
Li1Ga1S2,LiGaS2,1.0
Li1Ga1S2,LiGaS2,3.93
Li1Ga1S2,LiGaS2,3.259
Li1Ga1S2,LiGaS2,4.566
Li1Ga1S2,LiGaS2,1.0
Sn1S1,SnS,1.3
N5S1C3,N5SC3,1.5
Mo1S2,MoS2,1.2
Mo1S2,MoS2,1.1
Mo1Se2,MoSe2,1.1
Ga1N1Mo1S2,GaNMoS2,2.139
Mo1S2,MoS2,1.8
Mo1S2,MoS2,1.75
Ga1Te1Mo1S2,GaTeMoS2,1.26
Hf1S2,HfS2,1.3
Hf1S2,HfS2,1.3
Hf1S2,HfS2,1.45
Hf1S2,HfS2,0.030699999999999998
Mo1S2,MoS2,0.0004
S1Mo1Se1,SMoSe,3.11
Ti1S3,TiS3,0.9
Ti1S3,TiS3,0.23
Zr1S3,ZrS3,1.88
Zr1Se3,ZrSe3,1.63
Hf1S3,HfS3,2.2
Ti1S3,TiS3,1.0
Zn1Se1,ZnSe,2.7
B1Se1,BSe,2.92
B1Se1,BSe,2.55
B1Se1,BSe,4.03
S1B1,SB,3.2
Bi2S3,Bi2S3,1.41
In2S6Bi2,In2S6Bi2,1.18
Sb2Se3,Sb2Se3,1.1
Cd1S1,CdS,2.4
Sn1S2,SnS2,2.2750000000000004
Sn1S2,SnS2,1.47
W1Se2,WSe2,1.52
Cd1S1,CdS,2.4
Cd1S1,CdS,2.44
S1Se1,SSe,1.25
Cu3Sn1S4,Cu3SnS4,1.58
Cd1S1,CdS,2.4
Zn1S1,ZnS,3.6
In2S3,In2S3,2.1
Cd1S1K1C1N1,CdSKCN,1.58
Cd1S1,CdS,1.58
Cd1In2S4,CdIn2S4,1.73
Cu1Cd3P1S6,CuCd3PS6,2.24
Cu1Cd3P1S6,CuCd3PS6,1.53
Cu1Cd3P1S6,CuCd3PS6,2.24
B1S1C1F3,BSCF3,3.0
Ga1Se1,GaSe,2.11
Ga1Se1,GaSe,1.78
Se19,Se19,2.2
Ag1Ga1S2,AgGaS2,0.02499999999999991
Se19,Se19,1.435
Mo1S2,MoS2,1.23
Mo1S2,MoS2,2.96
Mo1S2,MoS2,1.56
Mo1S2,MoS2,1.56
W1Se2,WSe2,1.245
W1Se2,WSe2,0.312
In2Se3,In2Se3,0.8
Mo1S2,MoS2,1.83
In2Se3I1Mo1S2,In2Se3IMoS2,0.35
In2Se3,In2Se3,0.8
In2Se3I1Mo1S2,In2Se3IMoS2,0.3
In2Se3I1Mo1S2,In2Se3IMoS2,0.49
In2Se3I3Mo1S2,In2Se3I3MoS2,0.95
In1Se1Mo1S2,InSeMoS2,1.48
In1Se1,InSe,1.48
In1Se1,InSe,2.12
In1Se1Mo1S2,InSeMoS2,1.48
In1Se1,InSe,1.421
In1Se1,InSe,1.625
In1Se1Mo1S2,InSeMoS2,1.48
Bi2Se3,Bi2Se3,0.35
Sb2Se3,Sb2Se3,1.18
Sr1Zr1S3,SrZrS3,2.05
Mg1Zr1S3,MgZrS3,1.93
Sr1Zr1S3,SrZrS3,2.05
Sr1Zr1S3,SrZrS3,1.2
Ca1Zr1S3,CaZrS3,1.9
Ca1Zr1S3,CaZrS3,1.84
Ba1Zr1S3,BaZrS3,1.87
Mg1Zr1S3,MgZrS3,0.009
Ca1Zr1S3,CaZrS3,0.008
Ba1Zr1S3,BaZrS3,0.013
Mg1Zr1S3,MgZrS3,1.87
Ba1Zr1S3,BaZrS3,1.695
Cd1S1,CdS,2.5
Zn1S1,ZnS,3.7
Mo1S2,MoS2,1.4500000000000002
Cd1S1,CdS,2.4
Zn1S1,ZnS,3.52
Hf1S2,HfS2,2.1
Cd1Se1,CdSe,1.7
Bi2S3,Bi2S3,1.5
Bi2S3,Bi2S3,1.57
Cd1S1,CdS,2.4
Cd1Se1,CdSe,1.7
Ag1Bi1S1Cl2,AgBiSCl2,1.0
Cs1Yb1Mn1Se3,CsYbMnSe3,1.6
Cd1S1,CdS,0.37
Cd1S1,CdS,2.63
Cd1S1,CdS,2.705
Ag2S1,Ag2S,1.0
Cd1S1,CdS,2.4
Cd0.5Zn0.5Se1,Cd0.5Zn0.5Se,2.1
P3H1S1,P3HS,1.6
Cd1S1,CdS,2.4
Zn1S1,ZnS,3.6
Ag1In2S4Cu1,AgIn2S4Cu,1.5
Cu1In1Ga1Se2,CuInGaSe2,1.3
Pb1S1,PbS,0.41
Cd1S1,CdS,2.4
Au2S1,Au2S,1.9500000000000002
Au2S1,Au2S,1.8
Cu1In1S2,CuInS2,1.55
Zn1S1,ZnS,2.67
P3H1S1,P3HS,1.6
S1,S,2.1
Cd1S1,CdS,2.42
In2S3,In2S3,2.15
In2S3,In2S3,2.15
Cu1Ga2In3S8,CuGa2In3S8,1.91
Ag1Ga2In3S8,AgGa2In3S8,2.27
Zn1S1,ZnS,3.67
Cd1S1,CdS,2.45
Ag1In1S2,AgInS2,1.8
Sn1S2,SnS2,2.35
Sn1S2,SnS2,1.91
Sn1S2,SnS2,2.35
S1,S,2.99
Se1,Se,1.3900000000000001
Cu1In1Ga1S1Se1,CuInGaSSe,1.0
Se1,Se,1.3900000000000001
Se1,Se,1.3900000000000001
Cu1B1Se2,CuBSe2,3.13
Cu1B1Se2,CuBSe2,3.17
Pb1S1,PbS,0.41
Pb1S1,PbS,0.41
Cd2Te1Se1,Cd2TeSe,1.2
Se20Eu1Sn4,Se20EuSn4,1.07
Ba1Ga4Se7,BaGa4Se7,3.4
Ag1Ga1S2,AgGaS2,3.4
Li1Ga1S2,LiGaS2,3.54
Cu1In1S2,CuInS2,1.5
Cu1In1S2,CuInS2,1.5
Pb1S1,PbS,1.6
Pb1S1,PbS,0.4
Cd1S1,CdS,2.5
Cd2S2,Cd2S2,2.9
S1,S,0.3
Se1,Se,0.1
F1C1S2N1,FCS2N,1.99
S1,S,2.06
S1,S,3.8
S1,S,2.66
Cd1S1,CdS,3.6
Zn1S1,ZnS,3.6
Cd0.62Zn0.38S1,Cd0.62Zn0.38S,2.78
Cd1Se1,CdSe,1.79
Cd1S1,CdS,2.4
Cu1In1S2,CuInS2,3.3
Zn1Se1,ZnSe,2.67
Zn1S1,ZnS,3.6
Zn1S1,ZnS,3.52
S1,S,3.28
Zn1S1,ZnS,3.0
Sn1S1,SnS,3.6
Sn1S1,SnS,1.3
Ti1Sn1S1,TiSnS,1.3
Sn1S1,SnS,1.3
Sn1S1,SnS,1.6
Sn1S1,SnS,1.09
Cd1S1,CdS,2.43
Cd1S1,CdS,2.43
Cd1S1,CdS,2.39
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Zn1In2S4,ZnIn2S4,2.35
Zn1In2S4,ZnIn2S4,2.49
Cu1In1S2,CuInS2,1.45
Sc2S1C82,Sc2SC82,1.0
Sc2S1C82,Sc2SC82,0.89
Zn1S1,ZnS,1.5
Cu2Zn1Sn1Se4,Cu2ZnSnSe4,1.0
S1Se1Cu2Zn1Sn1,SSeCu2ZnSn,1.5
Sb2Se3,Sb2Se3,1.03
Sb2Se3,Sb2Se3,1.03
Zn1S1,ZnS,3.75
Cu1In1Se2,CuInSe2,1.04
Pb1Sn1S1,PbSnS,1.7650000000000001
Cd1S1,CdS,2.25
Cd1S1,CdS,2.25
Cd1S1,CdS,2.25
Mo1Se2,MoSe2,1.07
Pb1S1,PbS,3.0
Sn1S2,SnS2,1.6
Cd1S1,CdS,2.4
Zn1S1,ZnS,3.5
Zn1S1,ZnS,3.39
Cu1Ga3Se5,CuGa3Se5,1.8
Cu1Ga1Se2,CuGaSe2,1.8
Zn1S1,ZnS,3.7
S1Se1Cu1In1Ga1,SSeCuInGa,1.69
Cd1S1,CdS,2.25
Cd1Se1,CdSe,1.7
Cd1S1,CdS,2.25
In2S3,In2S3,1.935
In2S3,In2S3,1.52
In2S3,In2S3,1.901
In2S3,In2S3,2.45
Ag1In1S2,AgInS2,1.85
Zn1S1,ZnS,3.66
Bi2S3,Bi2S3,1.3
S1,S,1.08
S1,S,1.08
S1,S,0.282
Sn1S1Se1,SnSSe,1.08
Cu7S4,Cu7S4,1.7
Se1,Se,0.14
Se1,Se,0.14
Zn1Se1,ZnSe,2.67
Zn1Se1,ZnSe,2.67
Zn1S1,ZnS,3.8049999999999997
Zn1S1,ZnS,3.7
Zn1S1,ZnS,3.86
Zn1S1,ZnS,3.7
Zn1S1,ZnS,3.8049999999999997
Cu1In1S3Zn1,CuInS3Zn,1.45
Cu1In1S2,CuInS2,1.45
Zn1S1,ZnS,3.72
Zn1S1,ZnS,3.55
Cu1In0.8Ga0.2Se2,CuIn0.8Ga0.2Se2,1.11
Cu2S1,Cu2S,1.2
Sn1S1,SnS,1.3
Cd1S1,CdS,2.4
Cd1S1,CdS,2.67
In2S3,In2S3,2.1
Pb1S1,PbS,2.4
Cd1S1,CdS,2.4
B1Se1,BSe,1.73
S1P1,SP,2.86
Fe1S2,FeS2,0.9
Cd1S1,CdS,2.4
Bi2S3,Bi2S3,1.9
Bi2S3,Bi2S3,1.3
Bi2S3,Bi2S3,1.9
Bi2S3,Bi2S3,1.9
Cd1Se1,CdSe,1.7
Cu1In1S2,CuInS2,1.51
Cu2Zn1Sn1S3,Cu2ZnSnS3,1.3
Cu2Zn1Sn1S4,Cu2ZnSnS4,1.54
Cu1In1S2,CuInS2,1.2
Cu1In1S2,CuInS2,2.7
Zn1Se1,ZnSe,2.7
Zn1Se1,ZnSe,2.7
Cu1In1S2,CuInS2,2.7
Zn1Se1,ZnSe,2.7
Cu1In1S2,CuInS2,1.5
Fe1S2,FeS2,0.95
Zn1Se1,ZnSe,2.7
Cd1Te1Zn1Se1,CdTeZnSe,2.7
Zn1Se1,ZnSe,2.7
Sn1S2,SnS2,2.18
Cd1S1,CdS,2.42
Cd1S1,CdS,2.42
Pb1Se1,PbSe,0.26
Pb1Se1,PbSe,1.48
Pb1Se1,PbSe,1.825
Cd1Se1,CdSe,1.7
Cd1S1,CdS,0.73
Cd2Se1S1,Cd2SeS,2.4
B1S1,BS,4.085
B1S1,BS,4.0
B1S9,BS9,3.51
B1S1,BS,4.1
Cd1Se1,CdSe,1.73
Cd1Se1,CdSe,1.44
Cu2S1,Cu2S,1.2
Cu2Se1,Cu2Se,1.1
Cd1Se1Te1,CdSeTe,0.1
Ge1Se1,GeSe,1.15
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Cd1In2S4,CdIn2S4,1.53
Ba1Ga2Si1S6,BaGa2SiS6,3.75
Ag1Ga1S2,AgGaS2,2.64
Ba1Ga2Si1S6,BaGa2SiS6,2.94
Ag1Ga1S2,AgGaS2,3.75
Cs1Hg1Sb1Se3,CsHgSbSe3,1.89
S1,S,1.15
Se1,Se,1.15
Tl2Zr1S3,Tl2ZrS3,1.13
Tl4Zr1S4,Tl4ZrS4,1.7
Tl4Zr1Se4,Tl4ZrSe4,1.3
Bi2S3,Bi2S3,1.38
In2S3,In2S3,2.1
In2S3,In2S3,2.12
Zn1In2S4,ZnIn2S4,2.46
In2S3,In2S3,2.12
Se1,Se,1.25
S1,S,1.4
Mo1S2,MoS2,1.7
Cd1Se1,CdSe,1.7
Mo1S2,MoS2,1.2
Cd1S1,CdS,2.43
Bi2Te2S1,Bi2Te2S,0.2
Cd1S1,CdS,3.16
Cd1S1,CdS,2.25
Cd1S1,CdS,2.42
Cd1S1,CdS,2.25
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
In4Se1H0.03,In4SeH0.03,0.625
In4Se3,In4Se3,0.625
P3Se1,P3Se,1.74
Cd1S1,CdS,2.35
Cu5Sn2S7,Cu5Sn2S7,1.47
Cu2Sn1S3,Cu2SnS3,1.02
Cu5Sn2S7,Cu5Sn2S7,1.45
I1Cu3Sn1S4,ICu3SnS4,1.47
Ag2S1,Ag2S,0.9
Cu12Sb4S13,Cu12Sb4S13,1.72
